Date,PDO
1866-08-01,0.093
1866-09-01,0.01
1866-10-01,0.169
1866-11-01,0.197
1866-12-01,-0.2
1867-01-01,-0.033
1867-02-01,-0.053
1867-03-01,-0.114
1867-04-01,-0.121
1867-05-01,0.062
1867-06-01,0.064
1867-07-01,0.326
1867-08-01,0.197
1867-09-01,0.111
1867-10-01,-0.369
1867-11-01,0.004
1867-12-01,0.707
1868-01-01,0.592
1868-02-01,0.283
1868-03-01,0.2
1868-04-01,-0.063
1868-05-01,-0.004
1868-06-01,0.1
1868-07-01,0.373
1868-08-01,0.419
1868-09-01,0.558
1868-10-01,0.23
1868-11-01,-0.247
1868-12-01,-0.547
1869-01-01,-0.491
1869-02-01,-0.044
1869-03-01,0.418
1869-04-01,1.137
1869-05-01,3.254
1869-06-01,3.406
1869-07-01,3.375
1869-08-01,1.167
1869-09-01,0.021
1869-10-01,-0.363
1869-11-01,-0.454
1869-12-01,-0.391
1870-01-01,0.21
1870-02-01,-0.059
1870-03-01,0.323
1870-04-01,0.081
1870-05-01,0.164
1870-06-01,-0.232
1870-07-01,0.157
1870-08-01,0.37
1870-09-01,-0.038
1870-10-01,-0.307
1870-11-01,-0.522
1870-12-01,-0.76
1871-01-01,-0.456
1871-02-01,-0.027
1871-03-01,0.157
1871-04-01,-0.093
1871-05-01,-0.464
1871-06-01,-0.105
1871-07-01,-0.067
1871-08-01,0.209
1871-09-01,-0.314
1871-10-01,-0.574
1871-11-01,-0.65
1871-12-01,-0.282
1872-01-01,-0.319
1872-02-01,-0.409
1872-03-01,-0.166
1872-04-01,-0.324
1872-05-01,0.059
1872-06-01,-0.527
1872-07-01,-0.521
1872-08-01,-0.444
1872-09-01,-0.176
1872-10-01,-0.018
1872-11-01,-1.537
1872-12-01,-1.992
1873-01-01,-2.007
1873-02-01,-1.732
1873-03-01,-1.398
1873-04-01,-0.628
1873-05-01,-0.301
1873-06-01,-0.583
1873-07-01,-0.632
1873-08-01,-0.633
1873-09-01,-0.559
1873-10-01,-0.328
1873-11-01,-0.644
1873-12-01,-0.614
1874-01-01,-0.501
1874-02-01,-0.687
1874-03-01,-0.315
1874-04-01,0
1874-05-01,-0.143
1874-06-01,-0.238
1874-07-01,0.107
1874-08-01,0.549
1874-09-01,0.38
1874-10-01,0.187
1874-11-01,0.24
1874-12-01,-0.676
1875-01-01,-0.98
1875-02-01,-1.252
1875-03-01,-1.004
1875-04-01,-0.91
1875-05-01,-0.556
1875-06-01,-0.416
1875-07-01,-0.364
1875-08-01,-0.053
1875-09-01,-0.061
1875-10-01,-0.591
1875-11-01,-0.465
1875-12-01,0.056
1876-01-01,-0.825
1876-02-01,-0.764
1876-03-01,-0.872
1876-04-01,-1.354
1876-05-01,-1.192
1876-06-01,-0.654
1876-07-01,-1.865
1876-08-01,-1.593
1876-09-01,-0.813
1876-10-01,0.067
1876-11-01,0.337
1876-12-01,-0.109
1877-01-01,-0.033
1877-02-01,0.145
1877-03-01,0.2
1877-04-01,-0.05
1877-05-01,-0.128
1877-06-01,-0.305
1877-07-01,0.277
1877-08-01,-0.162
1877-09-01,0.103
1877-10-01,0.204
1877-11-01,0.469
1877-12-01,0.591
1878-01-01,0.661
1878-02-01,1.173
1878-03-01,1.277
1878-04-01,1.661
1878-05-01,1.745
1878-06-01,1.189
1878-07-01,0.81
1878-08-01,0.105
1878-09-01,-0.954
1878-10-01,-0.663
1878-11-01,-0.005
1878-12-01,1.325
1879-01-01,0.14
1879-02-01,0.249
1879-03-01,0.341
1879-04-01,0.683
1879-05-01,-0.686
1879-06-01,-0.843
1879-07-01,-1.034
1879-08-01,0.026
1879-09-01,0.11
1879-10-01,0.048
1879-11-01,-0.247
1879-12-01,-0.053
1880-01-01,0.255
1880-02-01,-0.323
1880-03-01,-0.98
1880-04-01,-1.737
1880-05-01,-2.246
1880-06-01,-2.448
1880-07-01,-1.564
1880-08-01,-1.228
1880-09-01,-1.375
1880-10-01,0.3
1880-11-01,-0.084
1880-12-01,-0.016
1881-01-01,-0.321
1881-02-01,-0.011
1881-03-01,0.219
1881-04-01,0.323
1881-05-01,0.682
1881-06-01,0.57
1881-07-01,-1.122
1881-08-01,-1.694
1881-09-01,0.492
1881-10-01,0.554
1881-11-01,0.385
1881-12-01,-0.543
1882-01-01,-1.514
1882-02-01,-1.317
1882-03-01,-1.27
1882-04-01,-1.103
1882-05-01,-0.918
1882-06-01,-1.447
1882-07-01,-2.514
1882-08-01,-0.775
1882-09-01,-0.412
1882-10-01,-0.748
1882-11-01,-0.412
1882-12-01,0.405
1883-01-01,-0.992
1883-02-01,-0.865
1883-03-01,-0.967
1883-04-01,-0.07
1883-05-01,-0.261
1883-06-01,-0.524
1883-07-01,-1.626
1883-08-01,-1.378
1883-09-01,-0.781
1883-10-01,-0.726
1883-11-01,-0.656
1883-12-01,-1.265
1884-01-01,-1.397
1884-02-01,-1.585
1884-03-01,-1.156
1884-04-01,-0.528
1884-05-01,0.439
1884-06-01,0.826
1884-07-01,1.097
1884-08-01,0.902
1884-09-01,0.708
1884-10-01,1.236
1884-11-01,1.909
1884-12-01,2.253
1885-01-01,2.296
1885-02-01,1.356
1885-03-01,1.724
1885-04-01,1.574
1885-05-01,1.124
1885-06-01,0
1885-07-01,-0.134
1885-08-01,0.388
1885-09-01,0.263
1885-10-01,0.166
1885-11-01,-0.05
1885-12-01,-0.224
1886-01-01,-0.41
1886-02-01,0.431
1886-03-01,-0.292
1886-04-01,0.411
1886-05-01,0.147
1886-06-01,-0.817
1886-07-01,-0.006
1886-08-01,-0.057
1886-09-01,-0.068
1886-10-01,-0.831
1886-11-01,-1.9
1886-12-01,-1.451
1887-01-01,-0.945
1887-02-01,-1.193
1887-03-01,-1.545
1887-04-01,-1.179
1887-05-01,-0.32
1887-06-01,0.455
1887-07-01,1.478
1887-08-01,-0.486
1887-09-01,-1.527
1887-10-01,-0.836
1887-11-01,-0.588
1887-12-01,-0.744
1888-01-01,-0.682
1888-02-01,0.085
1888-03-01,0.013
1888-04-01,0.02
1888-05-01,1.09
1888-06-01,1.178
1888-07-01,1.33
1888-08-01,1.163
1888-09-01,1.177
1888-10-01,0.757
1888-11-01,0.715
1888-12-01,0.397
1889-01-01,0.446
1889-02-01,0.142
1889-03-01,0.414
1889-04-01,1.072
1889-05-01,1.277
1889-06-01,1.197
1889-07-01,0.727
1889-08-01,-0.422
1889-09-01,-0.713
1889-10-01,-0.272
1889-11-01,1.15
1889-12-01,-0.006
1890-01-01,-0.511
1890-02-01,-0.873
1890-03-01,-1.194
1890-04-01,-0.733
1890-05-01,-0.883
1890-06-01,-2.646
1890-07-01,-0.836
1890-08-01,-0.521
1890-09-01,1.586
1890-10-01,-0.131
1890-11-01,-0.524
1890-12-01,-1.211
1891-01-01,-0.437
1891-02-01,-0.622
1891-03-01,-0.635
1891-04-01,-0.211
1891-05-01,0.839
1891-06-01,0.989
1891-07-01,0.979
1891-08-01,0.536
1891-09-01,0.345
1891-10-01,0.946
1891-11-01,0.295
1891-12-01,-0.178
1892-01-01,-0.919
1892-02-01,-1.015
1892-03-01,-0.715
1892-04-01,-1.044
1892-05-01,-2.423
1892-06-01,-1.884
1892-07-01,-1.748
1892-08-01,-2.387
1892-09-01,-2.043
1892-10-01,-2.119
1892-11-01,-1.944
1892-12-01,-1.023
1893-01-01,-0.441
1893-02-01,-0.491
1893-03-01,-0.693
1893-04-01,-1.348
1893-05-01,-2.07
1893-06-01,-1.953
1893-07-01,-1.858
1893-08-01,-0.497
1893-09-01,-0.168
1893-10-01,-0.544
1893-11-01,-0.703
1893-12-01,-1.518
1894-01-01,-1.419
1894-02-01,-1.953
1894-03-01,-2.647
1894-04-01,-2.633
1894-05-01,-2.941
1894-06-01,-2.393
1894-07-01,-2.731
1894-08-01,-1.737
1894-09-01,-1.803
1894-10-01,-2.264
1894-11-01,-3.001
1894-12-01,-1.4
1895-01-01,-0.865
1895-02-01,-0.516
1895-03-01,-0.463
1895-04-01,-0.734
1895-05-01,-0.223
1895-06-01,-0.508
1895-07-01,0.124
1895-08-01,-0.172
1895-09-01,-1.067
1895-10-01,-0.856
1895-11-01,-1.092
1895-12-01,-0.349
1896-01-01,0.245
1896-02-01,0.139
1896-03-01,-0.045
1896-04-01,-0.44
1896-05-01,-0.85
1896-06-01,-0.666
1896-07-01,-0.169
1896-08-01,0.183
1896-09-01,1.199
1896-10-01,0.207
1896-11-01,0.237
1896-12-01,0.255
1897-01-01,0.461
1897-02-01,-0.138
1897-03-01,-0.398
1897-04-01,0.01
1897-05-01,0.575
1897-06-01,0.781
1897-07-01,0.774
1897-08-01,0.192
1897-09-01,-0.489
1897-10-01,0.198
1897-11-01,0.411
1897-12-01,0.062
1898-01-01,0.121
1898-02-01,-0.072
1898-03-01,-0.343
1898-04-01,0.005
1898-05-01,-0.395
1898-06-01,0.004
1898-07-01,-0.484
1898-08-01,0.351
1898-09-01,0.323
1898-10-01,0.125
1898-11-01,0.585
1898-12-01,0.197
1899-01-01,0.049
1899-02-01,-0.531
1899-03-01,-0.399
1899-04-01,-0.283
1899-05-01,-0.582
1899-06-01,-0.972
1899-07-01,-0.1
1899-08-01,0.571
1899-09-01,0.596
1899-10-01,-0.086
1899-11-01,0.384
1899-12-01,0.399
1/1/1900,0.909
2/1/1900,0.394
3/1/1900,0.797
4/1/1900,1.735
5/1/1900,1.276
6/1/1900,1.003
7/1/1900,1.005
8/1/1900,1.246
9/1/1900,-0.23
10/1/1900,0.122
11/1/1900,0.657
12/1/1900,0.651
1/1/1901,1.146
2/1/1901,0.671
3/1/1901,-0.317
4/1/1901,-0.437
5/1/1901,-1.034
6/1/1901,-1.072
7/1/1901,-1.137
8/1/1901,-0.466
9/1/1901,0.092
10/1/1901,0.227
11/1/1901,0.074
12/1/1901,0.327
1/1/1902,1.098
2/1/1902,0.44
3/1/1902,0.3
4/1/1902,0.382
5/1/1902,1.002
6/1/1902,1.967
7/1/1902,2.491
8/1/1902,1.593
9/1/1902,0.965
10/1/1902,1.035
11/1/1902,0.465
12/1/1902,0.227
1/1/1903,-0.038
2/1/1903,0.117
3/1/1903,-0.135
4/1/1903,-0.934
5/1/1903,-0.403
6/1/1903,-0.063
7/1/1903,1.302
8/1/1903,1.152
9/1/1903,0.601
10/1/1903,0.466
11/1/1903,-0.187
12/1/1903,-0.017
1/1/1904,0.915
2/1/1904,0.262
3/1/1904,0.549
4/1/1904,0.108
5/1/1904,0.339
6/1/1904,-0.122
7/1/1904,0.056
8/1/1904,1.556
9/1/1904,1.992
10/1/1904,1.767
11/1/1904,1.659
12/1/1904,2.808
1/1/1905,2.479
2/1/1905,1.301
3/1/1905,0.584
4/1/1905,1.684
5/1/1905,1.252
6/1/1905,1.393
7/1/1905,2.093
8/1/1905,2.066
9/1/1905,1.798
10/1/1905,-0.218
11/1/1905,0.565
12/1/1905,-0.99
1/1/1906,1.175
2/1/1906,1.218
3/1/1906,0.566
4/1/1906,0.512
5/1/1906,1.274
6/1/1906,0.719
7/1/1906,1.331
8/1/1906,0.919
9/1/1906,0.188
10/1/1906,1.005
11/1/1906,0.629
12/1/1906,-0.577
1/1/1907,-0.65
2/1/1907,-0.476
3/1/1907,-1.773
4/1/1907,-1.206
5/1/1907,0.446
6/1/1907,0.747
7/1/1907,0.641
8/1/1907,-0.044
9/1/1907,1.102
10/1/1907,1.905
11/1/1907,1.597
12/1/1907,1.588
1/1/1908,1.259
2/1/1908,1.196
3/1/1908,0.281
4/1/1908,-0.008
5/1/1908,0.148
6/1/1908,0.211
7/1/1908,0.293
8/1/1908,-0.213
9/1/1908,0.816
10/1/1908,1.114
11/1/1908,1.58
12/1/1908,0.829
1/1/1909,0.316
2/1/1909,0.542
3/1/1909,0.665
4/1/1909,0.127
5/1/1909,-0.309
6/1/1909,-0.696
7/1/1909,-1.218
8/1/1909,-2.06
9/1/1909,-1.825
10/1/1909,-1.213
11/1/1909,-1.438
12/1/1909,-2.131
1/1/1910,-1.58
2/1/1910,-1.16
3/1/1910,-0.959
4/1/1910,-1.958
5/1/1910,-2.125
6/1/1910,-0.354
7/1/1910,-0.033
8/1/1910,-0.494
9/1/1910,0.754
10/1/1910,-0.956
11/1/1910,-0.633
12/1/1910,-0.095
1/1/1911,-0.54
2/1/1911,-1.129
3/1/1911,-1.259
4/1/1911,-0.616
5/1/1911,-0.66
6/1/1911,-1.346
7/1/1911,-0.363
8/1/1911,0.14
9/1/1911,-0.084
10/1/1911,-0.107
11/1/1911,-0.329
12/1/1911,-0.858
1/1/1912,-0.3
2/1/1912,0.088
3/1/1912,-0.198
4/1/1912,-0.268
5/1/1912,0.011
6/1/1912,0.374
7/1/1912,0.299
8/1/1912,0.523
9/1/1912,1.19
10/1/1912,0.691
11/1/1912,0.113
12/1/1912,-0.265
1/1/1913,-0.304
2/1/1913,0.211
3/1/1913,-0.087
4/1/1913,-0.506
5/1/1913,0.201
6/1/1913,0.128
7/1/1913,0.743
8/1/1913,1.206
9/1/1913,0.877
10/1/1913,0.617
11/1/1913,0.505
12/1/1913,0.041
1/1/1914,-0.215
2/1/1914,-0.027
3/1/1914,0.294
4/1/1914,0.948
5/1/1914,0.708
6/1/1914,-0.57
7/1/1914,-0.39
8/1/1914,-0.251
9/1/1914,-0.355
10/1/1914,-0.137
11/1/1914,0.122
12/1/1914,0.09
1/1/1915,-0.397
2/1/1915,-0.286
3/1/1915,0.578
4/1/1915,1.45
5/1/1915,1.661
6/1/1915,1.605
7/1/1915,1.602
8/1/1915,1.03
9/1/1915,0.584
10/1/1915,-0.727
11/1/1915,-1.066
12/1/1915,-0.641
1/1/1916,-1.115
2/1/1916,-1.116
3/1/1916,-0.941
4/1/1916,-0.339
5/1/1916,-0.205
6/1/1916,-1.155
7/1/1916,-1.127
8/1/1916,-1.568
9/1/1916,-1.476
10/1/1916,-1.452
11/1/1916,-2.164
12/1/1916,-2.273
1/1/1917,-1.695
2/1/1917,-1.624
3/1/1917,-1.794
4/1/1917,-1.591
5/1/1917,-1.087
6/1/1917,-0.897
7/1/1917,-0.51
8/1/1917,-0.219
9/1/1917,-0.697
10/1/1917,-1.155
11/1/1917,-0.935
12/1/1917,-0.584
1/1/1918,0.153
2/1/1918,-0.208
3/1/1918,-0.725
4/1/1918,-0.606
5/1/1918,-0.761
6/1/1918,-0.404
7/1/1918,0.066
8/1/1918,0.292
9/1/1918,0.643
10/1/1918,1.407
11/1/1918,1.223
12/1/1918,0.364
1/1/1919,0.354
2/1/1919,-0.009
3/1/1919,-0.375
4/1/1919,-0.395
5/1/1919,-0.834
6/1/1919,-1.216
7/1/1919,-1.287
8/1/1919,-0.448
9/1/1919,0.114
10/1/1919,-0.112
11/1/1919,-0.569
12/1/1919,-0.448
1/1/1920,-1.089
2/1/1920,-0.685
3/1/1920,-0.571
4/1/1920,-0.815
5/1/1920,-0.538
6/1/1920,-0.726
7/1/1920,-0.877
8/1/1920,-1.296
9/1/1920,-1.388
10/1/1920,-1.154
11/1/1920,-0.476
12/1/1920,-0.638
1/1/1921,-1.021
2/1/1921,-1.297
3/1/1921,-0.687
4/1/1921,-1.459
5/1/1921,-1.257
6/1/1921,-0.986
7/1/1921,-1.076
8/1/1921,-1.235
9/1/1921,-1.098
10/1/1921,-1.164
11/1/1921,-0.562
12/1/1921,-0.097
1/1/1922,-0.179
2/1/1922,-1.024
3/1/1922,-1.27
4/1/1922,-1.427
5/1/1922,-1.436
6/1/1922,-0.853
7/1/1922,-0.423
8/1/1922,-0.095
9/1/1922,-0.15
10/1/1922,-0.053
11/1/1922,-0.483
12/1/1922,0.2
1/1/1923,0.1
2/1/1923,-0.658
3/1/1923,-0.785
4/1/1923,-0.301
5/1/1923,0.36
6/1/1923,-0.8
7/1/1923,0.592
8/1/1923,0.336
9/1/1923,0.063
10/1/1923,0.389
11/1/1923,-0.133
12/1/1923,-0.251
1/1/1924,-0.742
2/1/1924,-0.801
3/1/1924,-0.443
4/1/1924,-0.835
5/1/1924,-0.132
6/1/1924,-0.09
7/1/1924,-0.409
8/1/1924,-0.771
9/1/1924,-1.29
10/1/1924,-1.755
11/1/1924,-1.392
12/1/1924,-0.542
1/1/1925,-1.169
2/1/1925,-0.856
3/1/1925,-0.734
4/1/1925,-1.013
5/1/1925,-0.441
6/1/1925,-0.765
7/1/1925,-0.33
8/1/1925,-0.127
9/1/1925,0.445
10/1/1925,0.571
11/1/1925,0.943
12/1/1925,0.662
1/1/1926,0.873
2/1/1926,1.08
3/1/1926,1.156
4/1/1926,1.766
5/1/1926,2.209
6/1/1926,1.518
7/1/1926,2.102
8/1/1926,1.798
9/1/1926,1.632
10/1/1926,1.569
11/1/1926,2.023
12/1/1926,1.633
1/1/1927,0.713
2/1/1927,1.134
3/1/1927,0.777
4/1/1927,0.163
5/1/1927,0.137
6/1/1927,0.485
7/1/1927,-0.171
8/1/1927,-0.252
9/1/1927,0.266
10/1/1927,-0.457
11/1/1927,-0.285
12/1/1927,-0.24
1/1/1928,0.282
2/1/1928,0.556
3/1/1928,0.815
4/1/1928,0.526
5/1/1928,0.654
6/1/1928,1.037
7/1/1928,-0.289
8/1/1928,-0.446
9/1/1928,-1.223
10/1/1928,-0.769
11/1/1928,0.203
12/1/1928,0.387
1/1/1929,0.496
2/1/1929,0.032
3/1/1929,-0.051
4/1/1929,0.276
5/1/1929,0.346
6/1/1929,0.315
7/1/1929,0.054
8/1/1929,0.108
9/1/1929,0.912
10/1/1929,0.955
11/1/1929,0.616
12/1/1929,1.37
1/1/1930,0.892
2/1/1930,0.589
3/1/1930,0.292
4/1/1930,0.292
5/1/1930,0.146
6/1/1930,0.022
7/1/1930,0.171
8/1/1930,0.152
9/1/1930,0.691
10/1/1930,0.321
11/1/1930,0.081
12/1/1930,0.539
1/1/1931,0.834
2/1/1931,0.752
3/1/1931,0.869
4/1/1931,1.459
5/1/1931,2.018
6/1/1931,1.764
7/1/1931,2.081
8/1/1931,1.172
9/1/1931,1.067
10/1/1931,0.344
11/1/1931,-0.123
12/1/1931,-0.756
1/1/1932,-1.01
2/1/1932,-1.253
3/1/1932,-0.427
4/1/1932,0.509
5/1/1932,0.02
6/1/1932,-0.187
7/1/1932,-0.126
8/1/1932,-0.041
9/1/1932,-0.76
10/1/1932,-0.055
11/1/1932,-0.427
12/1/1932,-0.14
1/1/1933,-0.842
2/1/1933,-1.017
3/1/1933,-1.115
4/1/1933,-0.883
5/1/1933,-1.534
6/1/1933,-2.022
7/1/1933,-2.517
8/1/1933,-2.138
9/1/1933,-2.303
10/1/1933,-1.486
11/1/1933,-0.459
12/1/1933,-0.746
1/1/1934,-0.6
2/1/1934,-0.017
3/1/1934,0.562
4/1/1934,1.07
5/1/1934,0.725
6/1/1934,-0.134
7/1/1934,0.206
8/1/1934,1.171
9/1/1934,1.093
10/1/1934,1.749
11/1/1934,1.439
12/1/1934,1.105
1/1/1935,0.417
2/1/1935,0.081
3/1/1935,-0.252
4/1/1935,0.243
5/1/1935,0.81
6/1/1935,1.151
7/1/1935,0.516
8/1/1935,0.516
9/1/1935,0.614
10/1/1935,0.73
11/1/1935,0.486
12/1/1935,1.305
1/1/1936,1.747
2/1/1936,1.416
3/1/1936,1.001
4/1/1936,1.16
5/1/1936,1.541
6/1/1936,2.029
7/1/1936,2.48
8/1/1936,1.988
9/1/1936,1.202
10/1/1936,2.043
11/1/1936,2.589
12/1/1936,1.343
1/1/1937,0.156
2/1/1937,-0.187
3/1/1937,-0.014
4/1/1937,-0.403
5/1/1937,-0.019
6/1/1937,1.383
7/1/1937,0.137
8/1/1937,-0.254
9/1/1937,0.239
10/1/1937,0.59
11/1/1937,0.869
12/1/1937,0.809
1/1/1938,1.14
2/1/1938,0.063
3/1/1938,-0.397
4/1/1938,-0.081
5/1/1938,-0.488
6/1/1938,-0.439
7/1/1938,-0.23
8/1/1938,-0.187
9/1/1938,0.066
10/1/1938,0.819
11/1/1938,0.008
12/1/1938,0.683
1/1/1939,0.578
2/1/1939,-0.25
3/1/1939,-0.647
4/1/1939,-0.007
5/1/1939,0.176
6/1/1939,0.075
7/1/1939,-0.683
8/1/1939,-0.59
9/1/1939,-0.9
10/1/1939,-0.998
11/1/1939,-0.728
12/1/1939,1.16
1/1/1940,1.661
2/1/1940,1.411
3/1/1940,1.794
4/1/1940,2.133
5/1/1940,1.984
6/1/1940,2.301
7/1/1940,2.083
8/1/1940,1.711
9/1/1940,1.543
10/1/1940,1.443
11/1/1940,1.717
12/1/1940,2.425
1/1/1941,2.584
2/1/1941,2.77
3/1/1941,2.392
4/1/1941,2.417
5/1/1941,2.232
6/1/1941,2.932
7/1/1941,2.971
8/1/1941,3.202
9/1/1941,2.238
10/1/1941,1.456
11/1/1941,1.641
12/1/1941,2.099
1/1/1942,2.144
2/1/1942,1.718
3/1/1942,1.176
4/1/1942,1.181
5/1/1942,0.832
6/1/1942,1.023
7/1/1942,0.832
8/1/1942,0.87
9/1/1942,0.509
10/1/1942,0.452
11/1/1942,-0.063
12/1/1942,-0.877
1/1/1943,-1.402
2/1/1943,-0.746
3/1/1943,0.157
4/1/1943,1.102
5/1/1943,0.577
6/1/1943,-0.168
7/1/1943,-0.077
8/1/1943,-1.249
9/1/1943,-1.046
10/1/1943,-1.181
11/1/1943,-0.264
12/1/1943,1.513
1/1/1944,1.255
2/1/1944,0.224
3/1/1944,-0.24
4/1/1944,-0.442
5/1/1944,-1.175
6/1/1944,-1.657
7/1/1944,-1.116
8/1/1944,-0.457
9/1/1944,-1.116
10/1/1944,-0.88
11/1/1944,-0.382
12/1/1944,-0.349
1/1/1945,0.05
2/1/1945,-0.025
3/1/1945,0.247
4/1/1945,-0.026
5/1/1945,-0.059
6/1/1945,0.403
7/1/1945,0.762
8/1/1945,0.207
9/1/1945,0.214
10/1/1945,0.15
11/1/1945,-0.841
12/1/1945,-1.488
1/1/1946,-0.93
2/1/1946,0.506
3/1/1946,0.704
4/1/1946,0.72
5/1/1946,-0.132
6/1/1946,-0.386
7/1/1946,0.347
8/1/1946,0.158
9/1/1946,0.249
10/1/1946,-0.603
11/1/1946,-1.237
12/1/1946,-1.428
1/1/1947,0.022
2/1/1947,0.461
3/1/1947,0.705
4/1/1947,0.464
5/1/1947,-0.004
6/1/1947,0.951
7/1/1947,0.736
8/1/1947,0.801
9/1/1947,0.575
10/1/1947,1.415
11/1/1947,0.673
12/1/1947,0.16
1/1/1948,0.117
2/1/1948,-0.23
3/1/1948,-0.884
4/1/1948,-0.734
5/1/1948,-1.298
6/1/1948,-0.029
7/1/1948,0.012
8/1/1948,-0.516
9/1/1948,-0.768
10/1/1948,-1.391
11/1/1948,-0.744
12/1/1948,-1.795
1/1/1949,-2.345
2/1/1949,-2.615
3/1/1949,-1.447
4/1/1949,-1.208
5/1/1949,-0.918
6/1/1949,-0.753
7/1/1949,-0.898
8/1/1949,-0.987
9/1/1949,-0.948
10/1/1949,-1.574
11/1/1949,-0.767
12/1/1949,-0.699
1/1/1950,-1.317
2/1/1950,-1.654
3/1/1950,-1.346
4/1/1950,-1.402
5/1/1950,-2.423
6/1/1950,-1.798
7/1/1950,-2.62
8/1/1950,-1.74
9/1/1950,-1.401
10/1/1950,-1.327
11/1/1950,-1.106
12/1/1950,-0.766
1/1/1951,-0.802
2/1/1951,-1.14
3/1/1951,-1.29
4/1/1951,-0.883
5/1/1951,-0.648
6/1/1951,-1.141
7/1/1951,0.143
8/1/1951,-1.048
9/1/1951,-0.129
10/1/1951,0.074
11/1/1951,-0.145
12/1/1951,-1.321
1/1/1952,-2.005
2/1/1952,-1.153
3/1/1952,-1.49
4/1/1952,-1.498
5/1/1952,-1.393
6/1/1952,-1.647
7/1/1952,-1.459
8/1/1952,-0.814
9/1/1952,-0.666
10/1/1952,-0.322
11/1/1952,-0.163
12/1/1952,-0.564
1/1/1953,-0.091
2/1/1953,-0.252
3/1/1953,-0.966
4/1/1953,-0.628
5/1/1953,-0.177
6/1/1953,-0.18
7/1/1953,0.354
8/1/1953,-0.41
9/1/1953,-0.581
10/1/1953,-0.845
11/1/1953,-0.231
12/1/1953,-0.023
1/1/1954,-0.773
2/1/1954,-0.605
3/1/1954,-0.732
4/1/1954,-0.702
5/1/1954,-0.211
6/1/1954,0.592
7/1/1954,0.095
8/1/1954,0.148
9/1/1954,-0.499
10/1/1954,0.4
